,timestamp,open,high,low,close,volume,10,20,30,40,50,60,10-50,10-20,Buy,Sell
0,2021-11-06 08:00:00,618.6,622.1,600.9,604.4,82326.347,,,,,,,,,False,False
1,2021-11-06 12:00:00,604.5,614.4,595.9,611.4,65272.335,,,,,,,,,False,False
2,2021-11-06 16:00:00,611.4,625.8,610.1,624.9,50857.3009,,,,,,,,,False,False
3,2021-11-06 20:00:00,624.9,639.2,623.4,638.4,53612.9385,,,,,,,,,False,False
4,2021-11-07 00:00:00,638.3,649.5,631.1,646.6,69001.4849,,,,,,,,,False,False
5,2021-11-07 04:00:00,646.6,668.8,646.6,659.2,87986.6705,,,,,,,,,False,False
6,2021-11-07 08:00:00,659.1,669.7,658.3,663.2,70337.9694,,,,,,,,,False,False
7,2021-11-07 12:00:00,663.2,668.1,654.8,660.7,71318.624,,,,,,,,,False,False
8,2021-11-07 16:00:00,660.8,664.0,650.8,656.3,50686.664,,,,,,,,,False,False
9,2021-11-07 20:00:00,656.3,657.5,643.9,650.1,39702.26,,,,,,,,,False,False
10,2021-11-08 00:00:00,650.1,650.5,631.0,638.8,82131.525,631.58,,,,,,,,False,False
11,2021-11-08 04:00:00,638.7,649.1,635.7,641.8,52383.764,634.5899999999999,,,,,,,,False,False
12,2021-11-08 08:00:00,641.7,646.7,633.7,644.5,58679.9,638.5699999999999,,,,,,,,False,False
13,2021-11-08 12:00:00,644.5,655.0,640.9,649.4,54614.542,640.93,,,,,,,,False,False
14,2021-11-08 16:00:00,649.2,651.6,644.4,645.4,32328.295,642.68,,,,,,,,False,False
15,2021-11-08 20:00:00,645.4,656.1,642.8,654.1,36692.129,644.01,,,,,,,,False,False
16,2021-11-09 00:00:00,654.1,657.0,646.7,649.8,35741.043,643.6299999999999,,,,,,,,False,False
17,2021-11-09 04:00:00,649.7,650.0,642.8,646.4,33734.758,642.4699999999999,,,,,,,,False,False
18,2021-11-09 08:00:00,646.2,650.0,640.8,643.6,36641.654,641.27,,,,,,,,False,False
19,2021-11-09 12:00:00,643.9,649.8,638.7,642.0,49765.312,640.2700000000001,,,,,,,,False,False
20,2021-11-09 16:00:00,642.1,644.3,632.9,634.7,52035.021,639.75,635.665,,,,,,4.085000000000036,False,False
21,2021-11-09 20:00:00,634.7,638.1,632.1,635.1,35574.988,639.9399999999999,637.2649999999999,,,,,,2.675000000000068,False,False
22,2021-11-10 00:00:00,635.1,636.7,626.2,628.7,40411.653,639.58,639.0749999999999,,,,,,0.5050000000001091,False,False
23,2021-11-10 04:00:00,628.7,646.4,624.2,644.4,48765.222,638.83,639.8799999999999,,,,,,-1.0499999999998408,False,True
24,2021-11-10 08:00:00,644.3,655.5,642.4,655.2,66874.984,637.16,639.92,,,,,,-2.759999999999991,False,False
25,2021-11-10 12:00:00,655.2,662.8,646.1,651.2,109322.165,636.9599999999999,640.485,,,,,,-3.525000000000091,False,False
26,2021-11-10 16:00:00,651.2,651.7,631.7,632.3,55918.375,637.29,640.46,,,,,,-3.1700000000000728,False,False
27,2021-11-10 20:00:00,632.0,639.8,574.2,614.7,222308.722,635.79,639.1300000000001,,,,,,-3.3400000000001455,False,False
28,2021-11-11 00:00:00,614.7,620.7,605.5,617.0,64946.992,628.93,635.1000000000001,,,,,,-6.1700000000001864,False,False
29,2021-11-11 04:00:00,616.9,632.0,613.8,630.6,45911.408,625.3999999999999,632.8350000000002,,,,,,-7.4350000000002865,False,False
30,2021-11-11 08:00:00,630.6,635.3,623.0,630.2,48228.551,622.9100000000001,631.3300000000002,631.4133333333334,,,,,-8.420000000000073,False,False
31,2021-11-11 12:00:00,630.2,632.5,619.0,625.2,57785.882,621.92,630.9300000000001,632.15,,,,,-9.010000000000105,False,False
32,2021-11-11 16:00:00,625.2,630.0,623.1,629.2,29135.537,620.61,630.095,632.92,,,,,-9.485000000000014,False,False
